scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,14,0.7110874257936152,0.093880644271293,0.05398982493359934,0,0.1,1,0.7933011009918474,0.06642109858803354,0.06583110514115749,0,0.0,1,0.9566102147224975,0.026920819085546843,0.05527899624503896,0,0.0,1,alpha_pos,1.0
alpha_pos,15,0.7911668236822352,0.04716965889505007,0.05726605621118485,0,0.1,1,0.69211564043539,-0.0610042224625867,0.06370526855086756,0,0.0,1,0.9192850865967416,-0.015875546771913582,0.052341467437396524,0,0.0,1,alpha_neg,0.0
alpha_pos,16,0.7194840010500515,0.13405891313095133,0.05595243512158119,1,0.1,1,0.8109743240266671,0.10493672955569354,0.06705827365396261,0,0.0,1,0.9076958697519912,-0.14654917897629663,0.046573351603973856,1,0.0,0,beta,0.0
alpha_pos,17,0.8287516930277057,0.031826722011926184,0.05376079556807116,0,0.1,1,0.8725109794790038,-0.013000019897210993,0.07498784975597046,0,0.0,1,0.9322311176550638,-0.018557603603264684,0.05222750951567669,0,0.0,1,alpha_pos,1.0
alpha_pos,18,0.7124757139015165,-0.0753754237376655,0.06824510134893863,0,0.1,0,0.7817570191278176,0.016360543151168444,0.0492646958429571,0,0.0,1,0.9420930752813089,-0.1255707052639093,0.052779166993601044,1,0.0,0,beta,0.0
alpha_pos,19,0.7912028295688517,0.08445311065701147,0.05654231658386702,0,0.1,1,0.8438380796023175,0.0775909366836585,0.07048414476427003,0,0.0,1,0.9165015749981945,-0.009046990782164767,0.05433069502575363,0,0.0,1,alpha_pos,1.0
alpha_pos,20,0.7600191611695881,0.061758545483168246,0.057716143548226906,0,0.1,1,0.771654349109678,-0.03951928637203513,0.06077520339522156,0,0.0,1,0.9496681366489497,0.02574535105025632,0.055287395312473835,0,0.0,1,alpha_pos,1.0
alpha_pos,21,0.8889340718830799,0.1332175772361613,0.07662647621597782,0,0.1,1,0.8309305803558799,-0.023784012004305265,0.057887433598693444,0,0.0,1,0.9326667639568414,-0.034738359424911665,0.054096068009910625,0,0.0,1,alpha_pos,1.0
alpha_pos,22,0.8575632538216023,0.14548089438767606,0.0712267873391826,1,0.1,1,0.8536799591060107,-0.03821174863724588,0.06148783229424588,0,0.0,1,0.9195196447349893,-0.023213077056885318,0.04611091396908506,0,0.0,1,alpha_pos,1.0
alpha_pos,23,0.8316032495761402,0.1259313457523248,0.06300212262738855,1,0.1,1,0.8281066697265246,-0.14216165103320522,0.06505864543939671,1,0.0,0,0.959464108194646,0.011883511783885413,0.050420423921004306,0,0.0,1,alpha_neg,0.0
alpha_pos,24,0.7688438440256014,0.031965952864530106,0.055327242635994936,0,0.1,1,0.8372927881419893,0.034011885170617706,0.06870358027757863,0,0.0,1,0.9203138831325245,-0.06609168263366047,0.04144577615930928,0,0.0,1,beta,0.0
alpha_pos,25,0.7869430043384051,0.09184000092227697,0.06842062058400808,0,0.1,1,0.8641593341474251,0.03229787968504809,0.06239581810621092,0,0.0,1,0.9341278401596809,-0.03281152365018204,0.04762814576829138,0,0.0,1,alpha_pos,1.0
alpha_pos,26,0.7166665657322939,0.0432542619728388,0.05436223605319067,0,0.1,1,0.828380201696109,0.11284396312972148,0.06371026690418569,0,0.0,1,0.9002049742523692,0.03989397253804894,0.04539385142026131,0,0.0,1,alpha_neg,0.0
alpha_pos,27,0.7677488564895502,0.06045276156722309,0.06371717526836986,0,0.1,1,0.8413008370227996,0.006779550970042063,0.05953905857805702,0,0.0,1,0.9558852545327852,-0.01282926055903252,0.059154507443222995,0,0.0,1,alpha_pos,1.0
alpha_pos,28,0.8455825714437122,0.22078195343199927,0.07109288107275209,1,0.1,1,0.7718775386220034,-0.1425467364269106,0.06221662742650516,1,0.0,0,0.9292693563772082,-0.0036718637855837517,0.05083168734184783,0,0.0,1,alpha_pos,1.0
alpha_pos,29,0.7488266943115434,-0.02073345942287797,0.05629197780486522,0,0.1,0,0.8025377390681178,0.042303816376135256,0.0657399929384789,0,0.0,1,0.9477416392417862,-0.04618570041659394,0.04603516350441248,0,0.0,1,beta,0.0
alpha_pos,30,0.8092412159692651,0.23904094720614852,0.06113923725606634,1,0.1,0,0.7198087443594002,0.080445577662022,0.06312721140159137,0,0.0,1,0.9177501180176282,-0.007923869099497449,0.04516117261121479,0,0.0,1,alpha_pos,1.0
alpha_pos,31,0.8339971362250376,0.16357224907692608,0.0753238762226959,1,0.1,1,0.7310826291411241,0.04306260594145793,0.059275657208392694,0,0.0,1,0.9400886688776257,-0.066029681652276,0.04971256359521204,0,0.0,1,alpha_pos,1.0
alpha_pos,32,0.747798976343915,-0.013728255077363666,0.03981810064729775,0,0.1,0,0.7988600993529679,-0.09584785869636399,0.06154041200838174,0,0.0,1,0.9206432935747364,-0.03704839782494095,0.048402508970015606,0,0.0,1,alpha_neg,0.0
alpha_pos,33,0.8245157695701173,0.2542659042186896,0.05908258693666731,1,0.1,0,0.7382107420760162,0.004781247962014463,0.06724219283780394,0,0.0,1,0.9374574347345124,-0.0015657221523106414,0.056581620267319735,0,0.0,1,alpha_pos,1.0
